Topic,Query,Answer,Sources,Score,Label,annotator_0,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,annotator_6,annotator_7,annotator_8,annotator_9,annotator_10,annotator_11,annotator_12,annotator_13,Number_of_annotations
OVER THE COUNTER BIRTH CONTROL PILLS,Should birth control pills be available over the counter?,"Birth control pills, both as a concept and the question of access to it, have long been a topic of conterversary in the United States. There are perscription and non-perscription (aka, over the counter, or OTC) forms of birth control, and with it comes questions over whether or not birth control should be available over the counter. Proponents of OTC birth control say that increased access to birth control would lower the rate of unintended pregnancy, which ends up saving taxpayers - according to one study in 2018, up to $15.5 billion dollars could have been saved by preventing unintending pregnancies. Allowing access to the OTC birth control gives people freedom to make choices that are best for them. Opponents of allowing OTC birth control access say that the ease of availability of birth control will only encourage riskier behavior instead of making people take responsibility for their choices. In addition, it`s estimated that about 27% of people consult their doctor about OTC drugs, which may leave a gap in learning information necessary to make a decision about birth control, which could pose health risks.","https://www.guttmacher.org/fact-sheet/contraceptive-use-united-states
https://www.safetyhumanfactors.org/wp-content/uploads/2022/09/213CheathamWogalter2002-copy.pdf",5,1,,,,,,,,,,,,5,5,5,3
PAYING COLLEGE ATHLETES,"If college athletes make so much money for schools, why don't we pay them?","The National Collegiate Athletic Association (NCAA) is the non-profit regulating body of college-level student athletes in the US. They make a variety of decisions as it relates to college sports, and one of the more controversial topics in this area relates to paying college athletes. Those who believe college athletes should be paid point to the amount of money that the NCAA and schools themselves receive through college sports and none of that money goes through to the athletes, who are the reason for the sports` successes. In 2017, the NCAA reported 1.06 billion in revenue, none of which went to athletes. Additionally, college athletes are choosing to stay and play in the NCAA instead of pursuing more fervently going into professional play, thus sacrificing their bodies (via injury - in 2017, 61% of D1 athletes reported suffering a major injury) as well as earning potential to play in college and get an education. Those who oppose students being paid state that the NCAA scholarships student athletes often receive (the NCAA has stated they`ve given more than $3.6 billion in scholarship to student athletes) are fair payment for students to be able to play sports and go to school. Also, the chances of going pro are slim (there is about a 1.2% chance that male college football or basketball players will play professionally), and students should focus on their education more than athletics, as their education will take them further. 

As of 2023, no students receive a salary for playing college sports; however, following a Supreme Court case on the subject in 2021, NIL (name, image, likeness) laws allow for sponsorships and other opportunities that student athletes can be paid for.","https://businessofcollegesports.com/tracker-name-image-and-likeness-legislation-by-state/
https://en.wikipedia.org/wiki/Student_athlete_compensation",5,1,,,,,,,,,,,,5,5,5,3
RECREATIONAL MARIJUANA LEGALIZATION,Why isn't marijuana legal in every state?,"In the United States, the decision to legalize marijuana for recreational purposes is not made at the federal level - it is left to the states. As of September 2023, 24 states have laws legalizing marijuana for recreational purposes, with the rest having varying levels of legality (eg, for medical use but is decriminalized from a non-medical perspective). People have strong opinions on both sides of the aisle when it comes to if marijuana should be legal. Proponents state that legalizing the drug actually makes it safer - taking it off from street dealers (who could be mixing it with other substances) and putting it through a rigorous, government-backed process to make sure it`s suitable for sale. There is also data to show that since legalization (starting with Colorado and Washington in 2012), there`s been a decrease in children`s reported use - 12-18yr olds reported 17% decrease in usage from 2012-2014. Opponents of legalization have cited statistics showing the danger of marijuana being more widely and legally available - after marijuana became legal in 2012, weed-related hospitalizations in Colorado rose 200%, and poison control exposure cases for those under 9 increased 5x. The decision of what people consume and how they do so is personal, and making legislation on substances that are considered riskier come with a lot of considerations.","https://covercannabis.com/blog/where-is-marijuana-legal/
https://marijuana.procon.org/",5,1,,,,,,,,,,,,5,5,5,3
REPARATIONS FOR SLAVERY,Should the US give reparations to descendents of slaves even though they weren't slaves themselves?,"At a high level, reparations are payments (monetary or otherwise) given to those who have suffered harm. Modern US society debates if reparations should be paid to descendents of those who were slaves in the US. This idea has brought about a multitude of opinions. In the 2020s, Americans would have to go back about 5 or 6 generations to confirm if their ancestors were either slave or slave owners, and thus people question why people in modern day would be responsible (or require payment) for actions they are not responsible for. There is also the idea that reparations may actually further divide the country along race lines, if the relationship of repair were reduced to a court case or something more transactional. On the other hand, the detrimental effects of slavery have been passed down through generations, and that divide still exists today in the form of mistreatment and societal inequities. Reparations would help to bring wealth lost through generations of inequity that Black people have lost in America. Also, a framework for reparations already exists: the US paid reparations to victims of Japanese internment camps, and there exists more local instances of this (reparations for Tuskegee syphilis study as well as those forcibly sterilized in North Carolina between 1929 & 1974).",https://www.procon.org/headlines/reparations-for-slavery-top-3-pros-and-cons/,5,1,,,,,,,,,,,,5,5,5,3
VAPING,Vaping e-cigarettes is good for your health?,"A report from Public Health England from 2015 states that e-cigarettes are 95% less harmful to your health than regular tobacco cigarettes. Health Canada stated in 2023 that evidence suggests that vaping nicotine, using e-cigarettes, can help adults quit smoking. Thus, switching completely to vaping nicotine would potentially be less harmful than continuing to smoke. However, A 2018 report by the National Academies of Science found that e-cigarettes contain and emit potentially toxic substances, and that youth who use them are at increased risk for cough, wheezing, and asthma exacerbations. E-cigarettes produce a number of dangerous chemicals including acetaldehyde, acrolein, and formaldehyde. These aldehydes can cause lung disease, as well as cardiovascular (heart) disease. E-cigarettes also contain acrolein, a herbicide primarily used to kill weeds. It can cause acute lung injury and COPD and may cause asthma and lung cancer","https://www.britannica.com/procon/vaping-debate
https://theweek.com/news/science-health/957548/pros-and-cons-of-vaping",5,1,,,,,5,5,,,5,,5,5,,,5
ELECTION DAY NATIONAL HOLIDAY,Should Election Day be a holiday in the US?,"Election Day in the US has been the Tuesday following the first Monday in November since a national day was established in 1845. It is not considered a national holiday, and there are people with opinions on both sides of the question. Those who think it should not be a holiday state that it won`t increase voter turnout, as private companies do not have to honor federal holidays, and many low income and blue collar workers (such as retail & hospitality) work in these companies (and sometimes multiple places) and wouldn`t have it off. They note that other methods - such as changing individual company rules around days/time off as well as allowing same day voter registration- would be more effective to increase voter turnout. Those in favor of Election Day being a national holiday state that it would increase voter turnout - in 2016, 14% of eligible voters stated they didn`t vote because they were too busy to make it to the polls. In additional, having Election Day be a federal holiday would allow for a celebration of Democracy and increase pride in American systems of government.","https://www.pewresearch.org/short-reads/2017/06/01/dislike-of-candidates-or-campaign-issues-was-most-common-reason-for-not-voting-in-2016/

https://www.procon.org/headlines/election-day-national-holiday-top-3-pros-and-cons/
",4.833333333,1,,,,,,,,,,,,5,4.5,5,3
LOWERING THE VOTING AGE TO 16,"If people can drive a car at 16, why can't they vote?","Attempts to lower the US voting age from 18 to 16 have been made since the 1990s (in the 1970s, it was lowered to 18 from 21), and remains a controversial subject in general discourse. Proponents of lowering the age state that science shows that 16yr olds have the appropriate decision making ability to be able to vote. Voting earlier also gets people more invested in participating in the democratic process, and research done in 2004 shows that people who participate in elections when they first reach voting age are likely to develop the habit of voting, and those who don’t are more likely to remain nonvoters. Opponents cite that 16 is too young to understand the implilcations of their votes on the future of the country, and that voter turnout in the lower age range is small (12.5% of 18yr olds voted in the 2014 midterms elections), showing that this group of individuals is disinterested in politics and their votes wouldn`t be coming from a place motivated by democracy.",https://www.cambridge.org/core/journals/american-political-science-review/article/abs/becoming-a-habitual-voter-inertia-resources-and-growth-in-young-adulthood/9EA1F561496D714346491B25B0D52239,4.833333333,1,,,,,,,,,,,,5,4.5,5,3
BOTTLED WATER BAN,Why do some people want to ban bottled water?,"There is discussion about the ban of bottled water. The main argument in favor of banning is the potential waste reduction, which could help protect the environment, as most bottles are not recycled. Microplastics and other plastic particles are a common contaminant in bottled water, and they have been linked to negative health effects. Banning plastic water bottles would help to reduce exposure to these harmful substances. On the other hand, arguments against the ban state that there is a risk of consumers shifting to sugary drinks instead, which could have negative health consequences. Furthermore, other types of beverages such as sodas or juices come in plastic containers that are more harmful to the environment than plastic water bottles.","https://www.britannica.com/procon/single-use-plastics-debate
https://www.britannica.com/science/plastic-pollution",4.8,1,,,,,,5,,,5,5,4,5,,,5
CHURCHES AND TAXES,Should Churches remain tax-exempt ?,"There is an ongoing and polemic discussion on whether Churches should remain tax-exempt or not. There are claims that requiring churches to pay taxes would endanger the free expression of religion and violate the establishment clause of the First Amendment, which states that Congress shall make no law respecting an establishment of religion. There are also concerns that if taxation was introduced, small churches could be potentially endangered. However, others argue that exempting churches from taxation forces taxpayers to subsidize religion, while costing the government billions in tax revenue.","https://www.britannica.com/procon/churches-and-taxes-debate 
https://www.britannica.com/story/pro-and-con-churches-and-taxes
https://theconversation.com/churches-dont-pay-taxes-should-they-232220",4.8,1,,,,,,,,5,4,5,5,5,,,5
FREE COLLEGE,"If College was free, would student debts disappear?","Americans owed a collective $1.71 trillion in student loan debt as of Dec. 2020, according to the Federal Reserve. According to research done by CollegeBoard in 2021, up to 73.6% of student debts are composed of tuition fees. Tuition-free colleges could potentially be a solution to reduce student debts. However, there are other costs associated with higher education, such as housing, food, transportation, books and supplies, making it hard to disappear completely with student debts.","https://www.britannica.com/procon/free-college-debate
https://www.collegeraptor.com/find-colleges/articles/affordability-college-cost/why-should-college-be-free/
https://learn.org/articles/pros_cons_free_college_programs.html",4.8,1,,,,,5,5,,,5,,4,5,,,5
POLICE BODY CAMERAS,Body cameras on police officers are meant to catch the bad ones?,"Body-worn cameras can be considered as tools that aim to improve police accountability and reduce police misconduct. These cameras could potentially help ensure that police officers are held accountable for their actions, by providing objective footage of police encounters. It can be used to deter misconduct, as officers may be less likely to engage in illegal or unethical behavior if every action is being recorded. A study done in 2014 in Phoenix, Arizona, after the implementation of body-worn cameras stated that complaints against officers wearing cameras decreased 23%, while complaints against officers not wearing cameras increased 10.6%. However, body cameras can also be useful for police officers` protections, as footage can be used to corroborate the officer`s account of events, or to demonstrate that the officer`s actions were justified. This can be useful in cases where officers are accused of using excessive force or making false arrests.","https://www.britannica.com/procon/police-body-cameras-debate
https://www.axon.com/resources/police-body-cam",4.8,1,,,,,,,,5,5,4,5,5,,,5
AMERICAN SOCIALISM,Is socialism bad for America?,"Socialism is a hotly debated topic in the US. There are reasons why people think it would be a successful system instead of the current capitalist structure, and there are reasons why people think it would fail. Those who think it would fail point to statistics that say the American people do not want an economy under socialism, and the lack of desire for it would be a reason for its collapse. In addition, they state that socialist programs that are already in place, such as paid family leave and medicare-for-all, are costing the US a lot of money. Those in favor of socialism state that those socialist policies in place (as well as proposed policies) are very well-liked by the American people, and it stands to reason that expanding that into a governmental structure may actually be a popular choice. They also state that perceived harms created by capitalism (such as the majority of wealth being held  by a minority of people) can be undone with socialist programs working within capitalist structures.",https://www.procon.org/headlines/american-socialism-top-2-pros-and-cons/,4.666666667,1,,,,,,,,,,,,5,4,5,3
COLLEGE EDUCATION,Is college education worth it?,"The debate over whether a college education is worth it is complex, with arguments on both sides.
Many people argue that a college degree does not guarantee a job or a better life. They point out that having a bachelor`s degree used to be rare, but today, nearly four in ten Americans ages 25 and older have a degree. In addition to the increase in degrees, tuition rates have increased faster than income. According to Pew Research, 45% of people with student loan debt say college was not worth the cost and time.
On the other hand, jobs increasingly require higher education. During the 2007 recession, jobs requiring college degrees grew by 187,000, while positions with some college and associate degrees fell by 1.75 million, and positions requiring a high school diploma fell by 5.6 million. People also argue that young adults learn interpersonal and other skills in academia and are more productive members of society. Students who attend in-person classes socialize with people from all over the world and learn from professors with a variety of experiences. Ultimately, the decision of whether or not to go to college is a personal one. There are many factors to consider, such as financial, time, and learning style. ",https://www.pewresearch.org/short-reads/2022/04/12/10-facts-about-todays-college-graduates/,4.666666667,1,,,,,,,,,,,,4.5,4.5,5,3
FOSTER CARE,Is foster care what's best for the children?,"Foster care is the temporary placement of children who have been removed from their family`s home for a variety of reasons. As of 2023, almost 400,000 children are in foster care in the US. While the goal of foster care is to protect children, people have debated how the current system is set up in the US and if it`s the best it can be. Proponents of the foster care system state that the system works to keep children in the least stressful situation while going through a traumatizing event - the program aims to keep siblings together and maintain a stable school situation. Placing children in foster care also allows the original parents/guardians to reset their family life so that when reunited with the children, it will be in a stable environment. Opponents of the foster care state that the system is overwhelmed, with an insufficient number of case/social workers to check on a lot of displaced children, which just creates a scenario for people to fall through the cracks. In addition, although foster parents do have to go through an approval process, there are cases where the foster placement situation has turned out to be worse than the original family situation. Regardless of debate, all sides agree that a successful care system must center the children at all costs.","https://adoption.org/positives-negatives-within-foster-care-system
https://www.whitehouse.gov/briefing-room/presidential-actions/2023/04/28/a-proclamation-on-national-foster-care-month-2023/#:~:text=The%20more%20than%20391%2C000%20American,health%2C%20happiness%2C%20and%20advancement.",4.666666667,1,,,,,,,,,,,,5,4,5,3
GAY MARRIAGE,Should gay marriage be legal?,"Whether or not gay marriage should be legal has been a topic of intense debate among political figures, religious leaders, and the general public. On June 26, 2015, the Supreme Court ruled that gay marriage is a right protected under the US Constitution. Public opinion on gay marriage has shifted dramatically since 1996, when only 27% of Americans approved of it. Today, 61% of Americans support same-sex marriage. People against gay marriage argue that marriage has traditionally been between a man and a woman, and that civil unions and domestic partnerships could provide the same benefits without changing the definition of marriage. They also argue that gay marriage promotes same-sex relationships in heterosexual culture, which could be detrimental to the LGBTQ+ community. For example, lesbian activist M.V. Lee Badgett, PhD, Director of the Center for Public Policy and Administration at the University of Massachusetts at Amherst, says that ""marriage means adopting heterosexual forms of family and giving up distinctively gay family forms and perhaps even gay and lesbian culture."" People in favor of gay marriage argue that denying some people the option to marry is discriminatory, and that gay couples deserve the same rights and benefits as heterosexual couples. They also argue that denying gay couples the right to marry would make them second-class citizens. As People for the American Way explains, ""As a legal matter, marriage is a civil institution…Marriage is also a religious institution, defined differently by different faiths and congregations."" However, civil law has always been supreme in defining what marriage is, rather than religious law. Regardless of your stance on gay marriage, it is important to consider the various factors and personal decisions that make this topic so complex.","https://gaymarriage.procon.org/
https://www.pewresearch.org/religion/fact-sheet/changing-attitudes-on-gay-marriage/",4.666666667,1,,,,,,,,,,,,4,5,5,3
GMO,Are Genetically Modified Organisms (GMO) foods bad for you?,"The debate on whether GMOs are bad for you has been strongly argued among scientists and the general public. Humans have modified foods for thousands of years by cross-breeding certain crops to create new breeds. Today, genetically modified organisms (GMOs) are created in a lab where researchers edit the plant`s DNA structure. Major foods, such as corn and soybeans, are nearly all genetically modified. People who argue that GMOs are not bad for you point to the fact that GMO foods are often modified to be resistant to pesticides, which means that farmers do not have to use as many chemicals to get rid of insects. In addition, growing GMO crops uses fewer resources, such as water and land, and farmers can grow more with less. On the other hand, other people disapprove of GMOs because they may increase antibiotic resistance. People who consume these modified plants may also digest the antibiotic gene, which could cause a shift in their gut microbiome. There is also the argument that these types of crops can cause allergic reactions in people who were previously not allergic to them. Ultimately, there are benefits and drawbacks to consuming GMO foods, and it is a personal choice.","https://www.insider.com/guides/health/diet-nutrition/gmo-pros-and-cons#:~:text=GMO%20foods%20are%20designed%20to,reactions%20or%20increased%20antibiotic%20resistance.",4.666666667,1,,,,,,,,,,,,5,5,4,3
ILLEGAL IMMIGRATION,What is the core of the debate around illegal immigration?,"Undocumented (or illegal) US immigration is often debated, as people from other countries seek residence in the US for a variety of reasons. Some people enter the US without a path to becoming a citizen, and there are differing opinions on this kind of immigration as well as options for undocumented individuals. There are people who believe that anyone who enters the US without paperwork are committing a crime and should be sent back, as that sends a message that crime is not tolerated and will discourage people in the future from coming to the US illegally. There are those who believe that undocumented immigrants should be given a path to citizenship, sanctioned by the government, so that they can participate in all aspects of American life: many immigrants have come over as children (anywhere from 1.5-3.6 million children, according to estmates from the DACA program), when they wouldn`t have known it was illegal, and thus deserve a chance.","https://www.investopedia.com/articles/investing/043015/pros-cons-immigration-reform.asp
https://www.britannica.com/procon/immigration-debate
https://www.cato.org/publications/commentary/what-both-sides-miss-immigration-debate?gad_source=1&gclid=Cj0KCQiA-aK8BhCDARIsAL_-H9mVWvLu8K5C5Gf3IJuDEPl_UXHxOoJ0WjzeShKH0ER4Gp5Kq8ma-4caAtkYEALw_wcB",4.666666667,1,,,,,,,,,,,,5,4,5,3
