Topic,Query,Split,Answer,Score
ARTIFICIAL INTELLIGENCE,Tell me more about artificial intelligence,TRAIN,NA,0
ARTIFICIAL INTELLIGENCE,"I support artificial intelligence, what about you?",TRAIN,NA,0
ARTIFICIAL INTELLIGENCE,Can you give me some argument against artificial intelligence?,TRAIN,NA,0
ARTIFICIAL INTELLIGENCE,Are you against artificial intelligence?,TRAIN,NA,0
ARTIFICIAL INTELLIGENCE,"Everyone should back up artificial intelligence, right?",TRAIN,NA,0
BANNED BOOKS,Can you explain to me why there is a polemic about banning books?,TRAIN,NA,0
BANNED BOOKS,How do you feel about banning books?,TRAIN,NA,0
BANNED BOOKS,I endorse banning books. Can you give me some pro arguments on the subject?,TRAIN,NA,0
BANNED BOOKS,I oppose banning books. Can you give me some arguments against it?,TRAIN,NA,0
BANNED BOOKS,What do you think of banning books?,TRAIN,NA,0
BANNED BOOKS,Tell me more about banning books,TRAIN,NA,0
BANNED BOOKS,"I support banning books, what about you?",TRAIN,NA,0
BANNED BOOKS,Can you give me some argument against banning books?,TRAIN,NA,0
BANNED BOOKS,Are you against banning books?,TRAIN,NA,0
BANNED BOOKS,"Everyone should back up banning books, right?",TRAIN,NA,0
BLACK LIVES MATTER,Can you explain to me why there is a polemic about the Black Lives Matter movement?,TRAIN,NA,0
BLACK LIVES MATTER,How do you feel about the Black Lives Matter movement?,TRAIN,NA,0
BLACK LIVES MATTER,I endorse the Black Lives Matter movement. Can you give me some pro arguments on the subject?,TRAIN,NA,0
BLACK LIVES MATTER,I oppose the Black Lives Matter movement. Can you give me some arguments against it?,TRAIN,NA,0
BLACK LIVES MATTER,What do you think of the Black Lives Matter movement?,TRAIN,NA,0
BLACK LIVES MATTER,Tell me more about the Black Lives Matter movement,TRAIN,NA,0
BLACK LIVES MATTER,"I support the Black Lives Matter movement, what about you?",TRAIN,NA,0
BLACK LIVES MATTER,Can you give me some argument against the Black Lives Matter movement?,TRAIN,NA,0
BLACK LIVES MATTER,Are you against the Black Lives Matter movement?,TRAIN,NA,0
BLACK LIVES MATTER,"Everyone should back up the Black Lives Matter movement, right?",TRAIN,NA,0
BORN GAY,Can you explain to me why there is a polemic about the fact that people are born gay?,TRAIN,NA,0
BORN GAY,How do you feel about the fact that people are born gay?,TRAIN,NA,0
BORN GAY,I endorse the fact that people are born gay. Can you give me some pro arguments on the subject?,TRAIN,NA,0
BORN GAY,I oppose the fact that people are born gay. Can you give me some arguments against it?,TRAIN,NA,0
BORN GAY,What do you think of the fact that people are born gay?,TRAIN,NA,0
BORN GAY,Tell me more about the fact that people are born gay,TRAIN,NA,0
BORN GAY,"I support the fact that people are born gay, what about you?",TRAIN,NA,0
BORN GAY,Can you give me some argument against the fact that people are born gay?,TRAIN,NA,0
BORN GAY,Are you against the fact that people are born gay?,TRAIN,NA,0
BORN GAY,"Everyone should back up the fact that people are born gay, right?",TRAIN,NA,0
BOTTLED WATER BAN,Can you explain to me why there is a polemic about the bottled water ban?,TRAIN,NA,0
BOTTLED WATER BAN,How do you feel about the bottled water ban?,TRAIN,NA,0
BOTTLED WATER BAN,I endorse the bottled water ban. Can you give me some pro arguments on the subject?,TRAIN,NA,0
BOTTLED WATER BAN,I oppose the bottled water ban. Can you give me some arguments against it?,TRAIN,NA,0
BOTTLED WATER BAN,What do you think of the bottled water ban?,TRAIN,NA,0
BOTTLED WATER BAN,Tell me more about the bottled water ban,TRAIN,NA,0
BOTTLED WATER BAN,"I support the bottled water ban, what about you?",TRAIN,NA,0
BOTTLED WATER BAN,Can you give me some argument against the bottled water ban?,TRAIN,NA,0
BOTTLED WATER BAN,Are you against the bottled water ban?,TRAIN,NA,0
BOTTLED WATER BAN,"Everyone should back up the bottled water ban, right?",TRAIN,NA,0
CANCEL CULTURE,Can you explain to me why there is a polemic about cancel culture?,TRAIN,NA,0
CANCEL CULTURE,How do you feel about cancel culture?,TRAIN,NA,0
CANCEL CULTURE,I endorse cancel culture. Can you give me some pro arguments on the subject?,TRAIN,NA,0
CANCEL CULTURE,I oppose cancel culture. Can you give me some arguments against it?,TRAIN,NA,0
CANCEL CULTURE,What do you think of cancel culture?,TRAIN,NA,0
CANCEL CULTURE,Tell me more about cancel culture,TRAIN,NA,0
CANCEL CULTURE,"I support cancel culture, what about you?",TRAIN,NA,0
CANCEL CULTURE,Can you give me some argument against cancel culture?,TRAIN,NA,0
CANCEL CULTURE,Are you against cancel culture?,TRAIN,NA,0
CANCEL CULTURE,"Everyone should back up cancel culture, right?",TRAIN,NA,0
CHURCHES AND TAXES,Can you explain to me why there is a polemic about churches tax exemption?,TRAIN,NA,0
CHURCHES AND TAXES,How do you feel about churches tax exemption?,TRAIN,NA,0
CHURCHES AND TAXES,I endorse churches tax exemption. Can you give me some pro arguments on the subject?,TRAIN,NA,0
CHURCHES AND TAXES,I oppose churches tax exemption. Can you give me some arguments against it?,TRAIN,NA,0
CHURCHES AND TAXES,What do you think of churches tax exemption?,TRAIN,NA,0
CHURCHES AND TAXES,Tell me more about churches tax exemption,TRAIN,NA,0
CHURCHES AND TAXES,"I support churches tax exemption, what about you?",TRAIN,NA,0
CHURCHES AND TAXES,Can you give me some argument against churches tax exemption?,TRAIN,NA,0
CHURCHES AND TAXES,Are you against churches tax exemption?,TRAIN,NA,0
CHURCHES AND TAXES,"Everyone should back up churches tax exemption, right?",TRAIN,NA,0
COLLEGE EDUCATION,Can you explain to me why there is a polemic about college education?,TRAIN,NA,0
COLLEGE EDUCATION,How do you feel about college education?,TRAIN,NA,0
COLLEGE EDUCATION,I endorse college education. Can you give me some pro arguments on the subject?,TRAIN,NA,0
COLLEGE EDUCATION,I oppose college education. Can you give me some arguments against it?,TRAIN,NA,0
COLLEGE EDUCATION,What do you think of college education?,TRAIN,NA,0
COLLEGE EDUCATION,Tell me more about college education,TRAIN,NA,0
COLLEGE EDUCATION,"I support college education, what about you?",TRAIN,NA,0
COLLEGE EDUCATION,Can you give me some argument against college education?,TRAIN,NA,0
COLLEGE EDUCATION,Are you against college education?,TRAIN,NA,0
COLLEGE EDUCATION,"Everyone should back up college education, right?",TRAIN,NA,0
COMMUNISM,Can you explain to me why there is a polemic about communism?,TRAIN,NA,0
COMMUNISM,How do you feel about communism?,TRAIN,NA,0
COMMUNISM,I endorse communism. Can you give me some pro arguments on the subject?,TRAIN,NA,0
COMMUNISM,I oppose communism. Can you give me some arguments against it?,TRAIN,NA,0
COMMUNISM,What do you think of communism?,TRAIN,NA,0
COMMUNISM,Tell me more about communism,TRAIN,NA,0
COMMUNISM,"I support communism, what about you?",TRAIN,NA,0
COMMUNISM,Can you give me some argument against communism?,TRAIN,NA,0
COMMUNISM,Are you against communism?,TRAIN,NA,0
COMMUNISM,"Everyone should back up communism, right?",TRAIN,NA,0
CONCEALED HANDGUNS,Can you explain to me why there is a polemic about concealed handguns?,TRAIN,NA,0
CONCEALED HANDGUNS,How do you feel about concealed handguns?,TRAIN,NA,0
CONCEALED HANDGUNS,I endorse concealed handguns. Can you give me some pro arguments on the subject?,TRAIN,NA,0
CONCEALED HANDGUNS,I oppose concealed handguns. Can you give me some arguments against them?,TRAIN,NA,0
CONCEALED HANDGUNS,What do you think of concealed handguns?,TRAIN,NA,0
CONCEALED HANDGUNS,Tell me more about concealed handguns,TRAIN,NA,0
CONCEALED HANDGUNS,"I support concealed handguns, what about you?",TRAIN,NA,0
CONCEALED HANDGUNS,Can you give me some argument against concealed handguns?,TRAIN,NA,0
CONCEALED HANDGUNS,Are you against concealed handguns?,TRAIN,NA,0
CONCEALED HANDGUNS,"Everyone should back up concealed handguns, right?",TRAIN,NA,0
CORPORAL PUNISHMENT,Can you explain to me why there is a polemic about corporal punishment?,TRAIN,NA,0
CORPORAL PUNISHMENT,How do you feel about corporal punishment?,TRAIN,NA,0
CORPORAL PUNISHMENT,I endorse corporal punishment. Can you give me some pro arguments on the subject?,TRAIN,NA,0
CORPORAL PUNISHMENT,I oppose corporal punishment. Can you give me some arguments against it?,TRAIN,NA,0
CORPORAL PUNISHMENT,What do you think of corporal punishment?,TRAIN,NA,0
CORPORAL PUNISHMENT,Tell me more about corporal punishment,TRAIN,NA,0
CORPORAL PUNISHMENT,"I support corporal punishment, what about you?",TRAIN,NA,0
CORPORAL PUNISHMENT,Can you give me some argument against corporal punishment?,TRAIN,NA,0
CORPORAL PUNISHMENT,Are you against corporal punishment?,TRAIN,NA,0
CORPORAL PUNISHMENT,"Everyone should back up corporal punishment, right?",TRAIN,NA,0
CORPORATE TAX RATE,Can you explain to me why there is a polemic about the current corporate tax rates?,TRAIN,NA,0
CORPORATE TAX RATE,How do you feel about the current corporate tax rates?,TRAIN,NA,0
CORPORATE TAX RATE,I endorse the current corporate tax rates. Can you give me some pro arguments on the subject?,TRAIN,NA,0
CORPORATE TAX RATE,I oppose the current corporate tax rates. Can you give me some arguments against them?,TRAIN,NA,0
CORPORATE TAX RATE,What do you think of the current corporate tax rates?,TRAIN,NA,0
CORPORATE TAX RATE,Tell me more about the current corporate tax rates,TRAIN,NA,0
CORPORATE TAX RATE,"I support the current corporate tax rates, what about you?",TRAIN,NA,0
CORPORATE TAX RATE,Can you give me some argument against the current corporate tax rates?,TRAIN,NA,0
CORPORATE TAX RATE,Are you against the current corporate tax rates?,TRAIN,NA,0
CORPORATE TAX RATE,"Everyone should back up the current corporate tax rates, right?",TRAIN,NA,0
D.A.R.E.,Can you explain to me why there is a polemic about D.A.R.E.?,TRAIN,NA,0
D.A.R.E.,How do you feel about D.A.R.E.?,TRAIN,NA,0
D.A.R.E.,I endorse D.A.R.E.. Can you give me some pro arguments on the subject?,TRAIN,NA,0
D.A.R.E.,I oppose D.A.R.E.. Can you give me some arguments against it?,TRAIN,NA,0
D.A.R.E.,What do you think of D.A.R.E.?,TRAIN,NA,0
D.A.R.E.,Tell me more about D.A.R.E.,TRAIN,NA,0
D.A.R.E.,"I support D.A.R.E., what about you?",TRAIN,NA,0
D.A.R.E.,Can you give me some argument against D.A.R.E.?,TRAIN,NA,0
D.A.R.E.,Are you against D.A.R.E.?,TRAIN,NA,0
D.A.R.E.,"Everyone should back up D.A.R.E., right?",TRAIN,NA,0
DACA & DREAMERS,Can you explain to me why there is a polemic about DACA & dreamers?,TRAIN,NA,0
DACA & DREAMERS,How do you feel about DACA & dreamers?,TRAIN,NA,0
DACA & DREAMERS,I endorse DACA & dreamers. Can you give me some pro arguments on the subject?,TRAIN,NA,0
DACA & DREAMERS,I oppose DACA & dreamers. Can you give me some arguments against them?,TRAIN,NA,0
DACA & DREAMERS,What do you think of DACA & dreamers?,TRAIN,NA,0
DACA & DREAMERS,Tell me more about DACA & dreamers,TRAIN,NA,0
DACA & DREAMERS,"I support DACA & dreamers, what about you?",TRAIN,NA,0
DACA & DREAMERS,Can you give me some argument against DACA & dreamers?,TRAIN,NA,0
DACA & DREAMERS,Are you against DACA & dreamers?,TRAIN,NA,0
DACA & DREAMERS,"Everyone should back up DACA & dreamers, right?",TRAIN,NA,0
DEATH PENALTY,Can you explain to me why there is a polemic about the death penalty?,TRAIN,NA,0
DEATH PENALTY,How do you feel about the death penalty?,TRAIN,NA,0
DEATH PENALTY,I endorse the death penalty. Can you give me some pro arguments on the subject?,TRAIN,NA,0
DEATH PENALTY,I oppose the death penalty. Can you give me some arguments against it?,TRAIN,NA,0
DEATH PENALTY,What do you think of the death penalty?,TRAIN,NA,0
DEATH PENALTY,Tell me more about the death penalty,TRAIN,NA,0
DEATH PENALTY,"I support the death penalty, what about you?",TRAIN,NA,0
DEATH PENALTY,Can you give me some argument against the death penalty?,TRAIN,NA,0
DEATH PENALTY,Are you against the death penalty?,TRAIN,NA,0
DEATH PENALTY,"Everyone should back up the death penalty, right?",TRAIN,NA,0
DEFUND THE POLICE,Can you explain to me why there is a polemic about defunding the police?,TRAIN,NA,0
DEFUND THE POLICE,How do you feel about defunding the police?,TRAIN,NA,0
DEFUND THE POLICE,I endorse defunding the police. Can you give me some pro arguments on the subject?,TRAIN,NA,0
DEFUND THE POLICE,I oppose defunding the police. Can you give me some arguments against it?,TRAIN,NA,0
DEFUND THE POLICE,What do you think of defunding the police?,TRAIN,NA,0
DEFUND THE POLICE,Tell me more about defunding the police,TRAIN,NA,0
DEFUND THE POLICE,"I support defunding the police, what about you?",TRAIN,NA,0
DEFUND THE POLICE,Can you give me some argument against defunding the police?,TRAIN,NA,0
DEFUND THE POLICE,Are you against defunding the police?,TRAIN,NA,0
DEFUND THE POLICE,"Everyone should back up defunding the police, right?",TRAIN,NA,0
DRESS CODE,Can you explain to me why there is a polemic about dress codes?,TRAIN,NA,0
DRESS CODE,How do you feel about dress codes?,TRAIN,NA,0
DRESS CODE,I endorse dress codes. Can you give me some pro arguments on the subject?,TRAIN,NA,0
DRESS CODE,I oppose dress codes. Can you give me some arguments against them?,TRAIN,NA,0
DRESS CODE,What do you think of dress codes?,TRAIN,NA,0
DRESS CODE,Tell me more about dress codes,TRAIN,NA,0
DRESS CODE,"I support dress codes, what about you?",TRAIN,NA,0
DRESS CODE,Can you give me some argument against dress codes?,TRAIN,NA,0
DRESS CODE,Are you against dress codes?,TRAIN,NA,0
DRESS CODE,"Everyone should back up dress codes, right?",TRAIN,NA,0
DRONE STRIKES OVERSEAS,Can you explain to me why there is a polemic about drone strikes overseas?,TRAIN,NA,0
DRONE STRIKES OVERSEAS,How do you feel about drone strikes overseas?,TRAIN,NA,0
DRONE STRIKES OVERSEAS,I endorse drone strikes overseas. Can you give me some pro arguments on the subject?,TRAIN,NA,0
DRONE STRIKES OVERSEAS,I oppose drone strikes overseas. Can you give me some arguments against them?,TRAIN,NA,0
DRONE STRIKES OVERSEAS,What do you think of drone strikes overseas?,TRAIN,NA,0
DRONE STRIKES OVERSEAS,Tell me more about drone strikes overseas,TRAIN,NA,0
DRONE STRIKES OVERSEAS,"I support drone strikes overseas, what about you?",TRAIN,NA,0
DRONE STRIKES OVERSEAS,Can you give me some argument against drone strikes overseas?,TRAIN,NA,0
DRONE STRIKES OVERSEAS,Are you against drone strikes overseas?,TRAIN,NA,0
DRONE STRIKES OVERSEAS,"Everyone should back up drone strikes overseas, right?",TRAIN,NA,0
DRUG USE IN SPORTS,Can you explain to me why there is a polemic about drug use in sports?,TRAIN,NA,0
DRUG USE IN SPORTS,How do you feel about drug use in sports?,TRAIN,NA,0
DRUG USE IN SPORTS,I endorse drug use in sports. Can you give me some pro arguments on the subject?,TRAIN,NA,0
DRUG USE IN SPORTS,I oppose drug use in sports. Can you give me some arguments against it?,TRAIN,NA,0
DRUG USE IN SPORTS,What do you think of drug use in sports?,TRAIN,NA,0
DRUG USE IN SPORTS,Tell me more about drug use in sports,TRAIN,NA,0
DRUG USE IN SPORTS,"I support drug use in sports, what about you?",TRAIN,NA,0
DRUG USE IN SPORTS,Can you give me some argument against drug use in sports?,TRAIN,NA,0
DRUG USE IN SPORTS,Are you against drug use in sports?,TRAIN,NA,0
DRUG USE IN SPORTS,"Everyone should back up drug use in sports, right?",TRAIN,NA,0
ELECTION DAY NATIONAL HOLIDAY,Can you explain to me why there is a polemic about election day being a national holiday?,TRAIN,NA,0
ELECTION DAY NATIONAL HOLIDAY,How do you feel about election day being a national holiday?,TRAIN,NA,0
ELECTION DAY NATIONAL HOLIDAY,I endorse election day being a national holiday. Can you give me some pro arguments on the subject?,TRAIN,NA,0
ELECTION DAY NATIONAL HOLIDAY,I oppose election day being a national holiday. Can you give me some arguments against it?,TRAIN,NA,0
ELECTION DAY NATIONAL HOLIDAY,What do you think of election day being a national holiday?,TRAIN,NA,0
ELECTION DAY NATIONAL HOLIDAY,Tell me more about election day being a national holiday,TRAIN,NA,0
ELECTION DAY NATIONAL HOLIDAY,"I support election day being a national holiday, what about you?",TRAIN,NA,0
ELECTION DAY NATIONAL HOLIDAY,Can you give me some argument against election day being a national holiday?,TRAIN,NA,0
ELECTION DAY NATIONAL HOLIDAY,Are you against election day being a national holiday?,TRAIN,NA,0
ELECTION DAY NATIONAL HOLIDAY,"Everyone should back up election day being a national holiday, right?",TRAIN,NA,0
ELECTORAL COLLEGE,Can you explain to me why there is a polemic about the electoral college?,TRAIN,NA,0
ELECTORAL COLLEGE,How do you feel about the electoral college?,TRAIN,NA,0
ELECTORAL COLLEGE,I endorse the electoral college. Can you give me some pro arguments on the subject?,TRAIN,NA,0
ELECTORAL COLLEGE,I oppose the electoral college. Can you give me some arguments against it?,TRAIN,NA,0
ELECTORAL COLLEGE,What do you think of the electoral college?,TRAIN,NA,0
ELECTORAL COLLEGE,Tell me more about the electoral college,TRAIN,NA,0
ELECTORAL COLLEGE,"I support the electoral college, what about you?",TRAIN,NA,0
ELECTORAL COLLEGE,Can you give me some argument against the electoral college?,TRAIN,NA,0
ELECTORAL COLLEGE,Are you against the electoral college?,TRAIN,NA,0
ELECTORAL COLLEGE,"Everyone should back up the electoral college, right?",TRAIN,NA,0
EMPLOYER VACCINE MANDATES,Can you explain to me why there is a polemic about employer vaccine mandates?,TRAIN,NA,0
EMPLOYER VACCINE MANDATES,How do you feel about employer vaccine mandates?,TRAIN,NA,0
EMPLOYER VACCINE MANDATES,I endorse employer vaccine mandates. Can you give me some pro arguments on the subject?,TRAIN,NA,0
EMPLOYER VACCINE MANDATES,I oppose employer vaccine mandates. Can you give me some arguments against them?,TRAIN,NA,0
EMPLOYER VACCINE MANDATES,What do you think of employer vaccine mandates?,TRAIN,NA,0
EMPLOYER VACCINE MANDATES,Tell me more about employer vaccine mandates,TRAIN,NA,0
EMPLOYER VACCINE MANDATES,"I support employer vaccine mandates, what about you?",TRAIN,NA,0
EMPLOYER VACCINE MANDATES,Can you give me some argument against employer vaccine mandates?,TRAIN,NA,0
EMPLOYER VACCINE MANDATES,Are you against employer vaccine mandates?,TRAIN,NA,0
EMPLOYER VACCINE MANDATES,"Everyone should back up employer vaccine mandates, right?",TRAIN,NA,0
EUTHANASIA & ASSISTED SUICIDE,Can you explain to me why there is a polemic about euthanasia & assisted suicide?,TRAIN,NA,0
EUTHANASIA & ASSISTED SUICIDE,How do you feel about euthanasia & assisted suicide?,TRAIN,NA,0
EUTHANASIA & ASSISTED SUICIDE,I endorse euthanasia & assisted suicide. Can you give me some pro arguments on the subject?,TRAIN,NA,0
EUTHANASIA & ASSISTED SUICIDE,I oppose euthanasia & assisted suicide. Can you give me some arguments against it?,TRAIN,NA,0
EUTHANASIA & ASSISTED SUICIDE,What do you think of euthanasia & assisted suicide?,TRAIN,NA,0
EUTHANASIA & ASSISTED SUICIDE,Tell me more about euthanasia & assisted suicide,TRAIN,NA,0
EUTHANASIA & ASSISTED SUICIDE,"I support euthanasia & assisted suicide, what about you?",TRAIN,NA,0
EUTHANASIA & ASSISTED SUICIDE,Can you give me some argument against euthanasia & assisted suicide?,TRAIN,NA,0
EUTHANASIA & ASSISTED SUICIDE,Are you against euthanasia & assisted suicide?,TRAIN,NA,0
EUTHANASIA & ASSISTED SUICIDE,"Everyone should back up euthanasia & assisted suicide, right?",TRAIN,NA,0
FELON VOTING,Can you explain to me why there is a polemic about felon voting?,TRAIN,NA,0
FELON VOTING,How do you feel about felon voting?,TRAIN,NA,0
FELON VOTING,I endorse felon voting. Can you give me some pro arguments on the subject?,TRAIN,NA,0
FELON VOTING,I oppose felon voting. Can you give me some arguments against it?,TRAIN,NA,0
FELON VOTING,What do you think of felon voting?,TRAIN,NA,0
FELON VOTING,Tell me more about felon voting,TRAIN,NA,0
FELON VOTING,"I support felon voting, what about you?",TRAIN,NA,0
FELON VOTING,Can you give me some argument against felon voting?,TRAIN,NA,0
FELON VOTING,Are you against felon voting?,TRAIN,NA,0
FELON VOTING,"Everyone should back up felon voting, right?",TRAIN,NA,0
FEMINISM,Can you explain to me why there is a polemic about feminism?,TRAIN,NA,0
FEMINISM,How do you feel about feminism?,TRAIN,NA,0
FEMINISM,I endorse feminism. Can you give me some pro arguments on the subject?,TRAIN,NA,0
FEMINISM,I oppose feminism. Can you give me some arguments against it?,TRAIN,NA,0
FEMINISM,What do you think of feminism?,TRAIN,NA,0
FEMINISM,Tell me more about feminism,TRAIN,NA,0
FEMINISM,"I support feminism, what about you?",TRAIN,NA,0
FEMINISM,Can you give me some argument against feminism?,TRAIN,NA,0
FEMINISM,Are you against feminism?,TRAIN,NA,0
FEMINISM,"Everyone should back up feminism, right?",TRAIN,NA,0
FOSTER CARE,Can you explain to me why there is a polemic about the foster care system?,TRAIN,NA,0
FOSTER CARE,How do you feel about the foster care system?,TRAIN,NA,0
FOSTER CARE,I endorse the foster care system. Can you give me some pro arguments on the subject?,TRAIN,NA,0
FOSTER CARE,I oppose the foster care system. Can you give me some arguments against it?,TRAIN,NA,0
FOSTER CARE,What do you think of the foster care system?,TRAIN,NA,0
FOSTER CARE,Tell me more about the foster care system,TRAIN,NA,0
FOSTER CARE,"I support the foster care system, what about you?",TRAIN,NA,0
FOSTER CARE,Can you give me some argument against the foster care system?,TRAIN,NA,0
FOSTER CARE,Are you against the foster care system?,TRAIN,NA,0
FOSTER CARE,"Everyone should back up the foster care system, right?",TRAIN,NA,0
FRACKING,Can you explain to me why there is a polemic about fracking?,TRAIN,NA,0
FRACKING,How do you feel about fracking?,TRAIN,NA,0
FRACKING,I endorse fracking. Can you give me some pro arguments on the subject?,TRAIN,NA,0
FRACKING,I oppose fracking. Can you give me some arguments against it?,TRAIN,NA,0
FRACKING,What do you think of fracking?,TRAIN,NA,0
FRACKING,Tell me more about fracking,TRAIN,NA,0
FRACKING,"I support fracking, what about you?",TRAIN,NA,0
FRACKING,Can you give me some argument against fracking?,TRAIN,NA,0
FRACKING,Are you against fracking?,TRAIN,NA,0
FRACKING,"Everyone should back up fracking, right?",TRAIN,NA,0
FREE COLLEGE,Can you explain to me why there is a polemic about college being free?,TRAIN,NA,0
FREE COLLEGE,How do you feel about college being free?,TRAIN,NA,0
FREE COLLEGE,I endorse college being free. Can you give me some pro arguments on the subject?,TRAIN,NA,0
FREE COLLEGE,I oppose college being free. Can you give me some arguments against it?,TRAIN,NA,0
FREE COLLEGE,What do you think of college being free?,TRAIN,NA,0
FREE COLLEGE,Tell me more about college being free,TRAIN,NA,0
FREE COLLEGE,"I support college being free, what about you?",TRAIN,NA,0
FREE COLLEGE,Can you give me some argument against college being free?,TRAIN,NA,0
FREE COLLEGE,Are you against college being free?,TRAIN,NA,0
FREE COLLEGE,"Everyone should back up college being free, right?",TRAIN,NA,0
GAY MARRIAGE,Can you explain to me why there is a polemic about gay marriage?,TRAIN,NA,0
GAY MARRIAGE,How do you feel about gay marriage?,TRAIN,NA,0
GAY MARRIAGE,I endorse gay marriage. Can you give me some pro arguments on the subject?,TRAIN,NA,0
